Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,StudyEfficiency
9,96,0,6,9,94.0,1.2857142857142858
5,97,1,9,5,84.0,0.5
4,73,1,4,3,59.0,0.8
6,53,0,9,2,39.0,0.6
6,61,1,6,1,49.0,0.8571428571428571
2,83,1,4,1,59.0,0.4
8,56,0,9,3,49.0,0.8
7,99,0,7,0,89.0,0.875
1,98,1,5,5,73.0,0.16666666666666666
5,54,1,9,9,40.0,0.5
6,89,0,8,4,79.0,0.6666666666666666
4,87,0,6,9,74.0,0.5714285714285714
2,71,1,8,8,49.0,0.2222222222222222
4,52,1,5,1,35.0,0.6666666666666666
1,60,1,7,8,39.0,0.125
7,88,0,9,8,83.0,0.7
2,79,1,7,9,56.0,0.25
2,72,1,5,8,46.0,0.3333333333333333
9,96,1,8,9,95.0,1.0
5,97,1,9,9,86.0,0.5
2,66,1,6,3,39.0,0.2857142857142857
9,74,1,4,4,70.0,1.8
9,55,0,7,7,51.0,1.125
1,67,0,5,7,41.0,0.16666666666666666
3,73,0,9,0,53.0,0.3
4,86,1,8,9,71.0,0.4444444444444444
7,40,0,6,0,31.0,1.0
4,80,1,8,9,63.0,0.4444444444444444
2,87,1,6,5,61.0,0.2857142857142857
7,70,1,9,6,65.0,0.7
6,75,1,4,1,63.0,1.2
3,83,1,4,1,63.0,0.6
6,72,0,5,4,58.0,1.0
6,72,0,5,8,62.0,1.0
5,78,0,6,4,61.0,0.7142857142857143
4,57,1,6,7,40.0,0.5714285714285714
1,62,0,6,7,39.0,0.14285714285714285
6,99,1,6,4,89.0,0.8571428571428571
2,62,0,9,7,40.0,0.2
3,54,0,9,7,35.0,0.3
8,65,0,4,4,55.0,1.6
6,69,0,5,4,60.0,1.0
3,64,0,5,3,45.0,0.5
7,84,0,7,0,76.0,0.875
4,55,1,5,8,38.0,0.6666666666666666
9,78,1,5,1,73.0,1.5
5,87,1,8,0,72.0,0.5555555555555556
3,84,1,8,5,68.0,0.3333333333333333
2,53,1,7,4,27.0,0.25
2,56,0,6,0,33.0,0.2857142857142857
3,51,1,7,6,28.0,0.375
2,68,1,7,6,46.0,0.25
4,71,1,4,2,52.0,0.8
2,95,1,9,7,72.0,0.2
9,63,1,5,5,58.0,1.5
2,91,1,4,3,69.0,0.4
9,52,1,9,9,54.0,0.9
6,95,1,5,9,85.0,1.0
1,59,1,7,9,33.0,0.125
4,54,0,5,2,33.0,0.6666666666666666
1,95,1,6,0,67.0,0.14285714285714285
6,92,1,6,1,80.0,0.8571428571428571
4,43,0,7,1,25.0,0.5
3,93,0,8,4,76.0,0.3333333333333333
3,73,1,6,3,53.0,0.42857142857142855
9,67,1,7,1,63.0,1.125
6,89,1,4,8,75.0,1.2
9,41,0,8,6,38.0,1.0
5,96,1,6,7,79.0,0.7142857142857143
2,86,0,7,7,63.0,0.25
8,69,0,7,1,60.0,1.0
5,65,0,4,4,49.0,1.0
2,90,0,4,2,66.0,0.4
4,86,0,8,9,71.0,0.4444444444444444
9,65,1,9,8,66.0,0.9
4,59,1,6,8,41.0,0.5714285714285714
4,81,0,7,5,67.0,0.5
2,67,0,8,3,46.0,0.2222222222222222
6,95,0,8,7,86.0,0.6666666666666666
2,59,0,4,4,37.0,0.4
7,50,1,7,2,42.0,0.875
3,97,0,5,7,77.0,0.5
3,49,0,9,5,32.0,0.3
5,62,1,9,4,47.0,0.5
3,76,1,4,0,54.0,0.6
2,80,1,7,2,60.0,0.25
9,91,1,8,6,89.0,1.0
2,58,0,9,2,34.0,0.2
2,84,0,8,0,59.0,0.2222222222222222
8,57,0,6,7,52.0,1.1428571428571428
9,88,0,5,6,84.0,1.5
7,66,0,4,4,57.0,1.4
3,45,0,9,9,30.0,0.3
9,49,0,6,4,47.0,1.2857142857142858
3,41,0,6,5,15.0,0.42857142857142855
5,63,0,5,6,49.0,0.8333333333333334
9,77,1,4,2,74.0,1.8
3,67,0,4,3,45.0,0.6
7,67,1,8,0,61.0,0.7777777777777778
1,92,1,4,6,67.0,0.2
4,84,1,6,9,64.0,0.5714285714285714
4,89,1,8,1,73.0,0.4444444444444444
7,78,0,4,6,68.0,1.4
8,41,1,5,5,33.0,1.3333333333333333
1,85,1,6,3,60.0,0.14285714285714285
5,44,0,7,1,30.0,0.625
7,89,1,5,6,82.0,1.1666666666666667
4,50,0,5,6,33.0,0.6666666666666666
4,49,0,4,4,28.0,0.8
4,82,0,8,8,64.0,0.4444444444444444
6,98,0,8,2,88.0,0.6666666666666666
7,41,1,6,8,35.0,1.0
2,54,0,4,4,30.0,0.4
5,78,1,8,1,60.0,0.5555555555555556
4,80,1,9,8,66.0,0.4
3,76,0,7,0,52.0,0.375
7,46,1,9,0,39.0,0.7
6,59,0,4,6,45.0,1.2
7,73,1,4,2,64.0,1.4
5,74,1,8,7,66.0,0.5555555555555556
6,73,1,5,6,61.0,1.0
5,92,1,4,6,76.0,1.0
7,61,0,5,0,49.0,1.1666666666666667
2,70,0,6,0,43.0,0.2857142857142857
5,62,1,6,1,45.0,0.7142857142857143
6,58,1,8,1,49.0,0.6666666666666666
6,43,1,6,4,27.0,0.8571428571428571
5,63,1,9,8,50.0,0.5
7,59,0,9,6,52.0,0.7
8,78,1,9,1,72.0,0.8
7,67,1,8,4,62.0,0.7777777777777778
5,93,1,8,4,80.0,0.5555555555555556
1,78,0,9,7,53.0,0.1
5,56,1,5,8,42.0,0.8333333333333334
2,58,0,9,7,37.0,0.2
5,93,0,5,1,77.0,0.8333333333333334
5,87,1,6,3,73.0,0.7142857142857143
2,74,1,5,1,46.0,0.3333333333333333
5,71,1,4,5,54.0,1.0
4,86,0,7,3,70.0,0.5
1,85,0,4,6,60.0,0.2
3,86,1,4,1,67.0,0.6
1,85,0,8,8,58.0,0.1111111111111111
5,78,1,7,4,63.0,0.625
4,96,1,8,0,83.0,0.4444444444444444
7,74,1,5,2,64.0,1.1666666666666667
5,69,1,9,3,57.0,0.5
4,56,1,5,2,45.0,0.6666666666666666
2,81,1,7,5,61.0,0.25
4,86,0,6,5,68.0,0.5714285714285714
2,68,0,5,9,45.0,0.3333333333333333
8,45,0,4,6,39.0,1.6
3,99,1,7,8,77.0,0.375
9,56,1,7,9,55.0,1.125
4,56,1,5,8,38.0,0.6666666666666666
6,53,0,5,6,40.0,1.0
5,63,1,8,0,49.0,0.5555555555555556
1,96,0,8,2,74.0,0.1111111111111111
9,89,1,4,4,86.0,1.8
1,96,0,7,9,72.0,0.125
8,76,1,6,5,72.0,1.1428571428571428
9,79,1,6,5,77.0,1.2857142857142858
9,78,0,7,4,76.0,1.125
1,94,0,4,5,67.0,0.2
2,71,0,8,8,52.0,0.2222222222222222
1,75,1,8,0,52.0,0.1111111111111111
2,89,0,8,0,67.0,0.2222222222222222
8,76,0,6,8,66.0,1.1428571428571428
7,53,1,4,8,40.0,1.4
2,66,0,6,6,44.0,0.2857142857142857
8,98,1,5,9,97.0,1.3333333333333333
6,58,0,6,5,48.0,0.8571428571428571
8,70,0,8,8,65.0,0.8888888888888888
1,85,0,4,1,57.0,0.2
1,48,1,7,3,19.0,0.125
7,77,0,7,1,68.0,0.875
8,56,0,4,5,48.0,1.6
3,58,1,5,0,34.0,0.5
5,83,0,7,6,67.0,0.625
1,43,0,8,6,15.0,0.1111111111111111
7,87,0,7,6,83.0,0.875
5,96,1,7,3,83.0,0.625
8,50,0,8,7,46.0,0.8888888888888888
8,61,1,6,4,57.0,1.1428571428571428
9,43,1,5,1,42.0,1.5
7,56,0,8,4,51.0,0.7777777777777778
1,47,0,8,9,24.0,0.1111111111111111
3,85,1,9,8,64.0,0.3
8,98,0,4,9,94.0,1.6
3,73,0,5,0,50.0,0.5
8,50,1,6,1,41.0,1.1428571428571428
1,70,0,9,9,45.0,0.1
5,50,0,8,7,37.0,0.5555555555555556
4,95,1,9,4,75.0,0.4
5,93,0,6,8,80.0,0.7142857142857143
8,95,1,9,5,94.0,0.8
4,77,1,9,7,62.0,0.4
4,92,0,9,0,73.0,0.4
3,60,1,8,8,43.0,0.3333333333333333
7,85,0,8,8,78.0,0.7777777777777778
3,69,0,4,2,51.0,0.6
3,49,1,7,0,24.0,0.375
5,65,1,5,7,46.0,0.8333333333333334
5,66,1,4,7,51.0,1.0
6,47,1,6,8,35.0,0.8571428571428571
8,78,1,9,5,75.0,0.8
6,47,1,8,8,38.0,0.6666666666666666
1,99,0,9,9,79.0,0.1
8,47,0,8,8,42.0,0.8888888888888888
8,94,1,5,3,89.0,1.3333333333333333
9,73,0,4,4,66.0,1.8
9,98,1,4,5,100.0,1.8
2,55,1,6,5,34.0,0.2857142857142857
2,80,0,4,9,59.0,0.4
3,52,0,4,1,28.0,0.6
1,62,1,7,3,39.0,0.125
4,51,1,5,8,36.0,0.6666666666666666
4,66,1,9,6,52.0,0.4
9,61,0,4,8,57.0,1.8
9,71,1,6,5,66.0,1.2857142857142858
9,96,1,9,6,95.0,0.9
7,88,0,8,8,79.0,0.7777777777777778
2,66,0,4,3,42.0,0.4
5,41,0,4,8,23.0,1.0
4,84,1,9,2,67.0,0.4
8,72,1,8,7,64.0,0.8888888888888888
2,65,0,7,2,43.0,0.25
6,67,1,5,2,56.0,1.0
5,58,1,7,2,43.0,0.625
2,82,0,6,8,55.0,0.2857142857142857
1,44,0,9,9,16.0,0.1
8,72,1,4,2,65.0,1.6
2,59,0,7,5,38.0,0.25
7,69,0,5,3,57.0,1.1666666666666667
9,84,1,6,1,83.0,1.2857142857142858
9,47,1,7,2,47.0,1.125
8,77,1,4,4,71.0,1.6
9,56,1,5,9,56.0,1.5
2,83,1,4,3,57.0,0.4
6,40,1,4,4,23.0,1.2
4,42,0,6,0,27.0,0.5714285714285714
4,85,0,5,3,65.0,0.6666666666666666
5,65,0,8,9,54.0,0.5555555555555556
3,70,1,4,2,50.0,0.6
1,47,1,5,1,23.0,0.16666666666666666
8,82,1,4,6,77.0,1.6
5,98,1,7,9,83.0,0.625
3,85,1,7,8,66.0,0.375
7,47,0,5,0,38.0,1.1666666666666667
7,74,1,6,6,65.0,1.0
1,78,0,8,0,54.0,0.1111111111111111
9,67,1,7,4,65.0,1.125
2,90,0,6,0,68.0,0.2857142857142857
5,43,0,8,2,31.0,0.5555555555555556
5,96,0,7,7,83.0,0.625
8,52,0,9,0,45.0,0.8
7,59,0,4,0,46.0,1.4
7,90,0,5,7,85.0,1.1666666666666667
6,44,1,7,7,33.0,0.75
6,94,1,7,3,83.0,0.75
9,76,0,4,3,71.0,1.8
6,59,1,7,9,49.0,0.75
2,63,1,7,1,39.0,0.25
2,75,0,9,1,51.0,0.2
5,73,1,7,5,57.0,0.625
4,97,0,7,7,81.0,0.5
2,84,1,7,6,65.0,0.25
3,87,0,6,6,66.0,0.42857142857142855
7,93,1,7,2,86.0,0.875
8,73,0,4,1,66.0,1.6
6,58,1,9,9,50.0,0.6
5,56,1,7,6,46.0,0.625
1,44,1,8,3,20.0,0.1111111111111111
8,64,0,9,0,58.0,0.8
3,57,0,9,0,38.0,0.3
6,99,1,8,3,91.0,0.6666666666666666
3,94,1,4,4,77.0,0.6
7,92,0,6,4,83.0,1.0
7,89,1,4,0,79.0,1.4
9,47,1,6,2,50.0,1.2857142857142858
5,66,0,5,5,51.0,0.8333333333333334
8,54,0,8,9,49.0,0.8888888888888888
8,84,1,9,6,79.0,0.8
1,52,0,9,0,26.0,0.1
5,55,1,9,7,42.0,0.5
3,61,1,8,3,42.0,0.3333333333333333
1,59,0,8,8,35.0,0.1111111111111111
4,52,1,6,5,31.0,0.5714285714285714
8,59,0,9,0,50.0,0.8
3,41,0,4,1,18.0,0.6
2,74,1,6,2,50.0,0.2857142857142857
9,86,0,9,1,82.0,0.9
5,94,1,8,9,78.0,0.5555555555555556
7,58,0,8,6,53.0,0.7777777777777778
2,84,1,8,0,65.0,0.2222222222222222
9,76,0,9,8,76.0,0.9
9,97,1,8,1,94.0,1.0
4,93,1,5,3,79.0,0.6666666666666666
4,45,0,8,7,27.0,0.4444444444444444
6,53,1,9,2,43.0,0.6
6,43,1,6,8,30.0,0.8571428571428571
1,61,1,8,6,37.0,0.1111111111111111
9,90,1,7,9,90.0,1.125
2,94,1,5,2,68.0,0.3333333333333333
5,78,1,9,2,64.0,0.5
9,75,0,8,4,73.0,1.0
4,73,0,7,4,53.0,0.5
3,66,0,9,9,46.0,0.3
7,46,0,6,4,37.0,1.0
6,42,1,5,8,29.0,1.0
8,86,1,8,8,80.0,0.8888888888888888
3,72,0,6,5,52.0,0.42857142857142855
5,41,1,9,6,29.0,0.5
4,81,0,7,9,70.0,0.5
4,55,1,9,7,40.0,0.4
4,64,1,9,8,49.0,0.4
8,99,0,5,5,92.0,1.3333333333333333
6,54,1,8,7,46.0,0.6666666666666666
3,63,0,6,1,42.0,0.42857142857142855
5,54,0,5,9,41.0,0.8333333333333334
6,70,0,7,7,60.0,0.75
5,53,1,8,1,41.0,0.5555555555555556
6,93,1,5,7,83.0,1.0
8,53,0,7,1,43.0,1.0
7,45,1,7,2,36.0,0.875
5,53,0,6,6,38.0,0.7142857142857143
6,56,0,9,8,47.0,0.6
4,57,1,7,2,40.0,0.5
9,59,0,7,4,59.0,1.125
4,90,1,9,8,76.0,0.4
1,56,1,4,6,31.0,0.2
7,55,1,7,1,44.0,0.875
7,79,0,8,4,71.0,0.7777777777777778
4,78,0,5,4,59.0,0.6666666666666666
3,91,1,9,8,69.0,0.3
8,71,1,9,1,63.0,0.8
5,99,0,9,0,87.0,0.5
7,83,1,8,3,77.0,0.7777777777777778
4,48,1,9,3,31.0,0.4
4,66,0,8,0,47.0,0.4444444444444444
8,85,0,6,9,78.0,1.1428571428571428
8,91,0,4,6,86.0,1.6
2,72,1,9,1,48.0,0.2
2,49,0,4,8,24.0,0.4
3,56,0,9,6,39.0,0.3
3,88,0,8,6,71.0,0.3333333333333333
1,88,0,5,0,60.0,0.16666666666666666
3,75,0,4,8,54.0,0.6
6,56,0,4,9,45.0,1.2
8,57,0,8,8,51.0,0.8888888888888888
6,91,1,4,1,78.0,1.2
5,62,0,6,9,48.0,0.7142857142857143
4,73,1,8,8,59.0,0.4444444444444444
3,47,1,4,1,28.0,0.6
4,52,0,4,1,35.0,0.8
7,62,1,4,7,55.0,1.4
1,96,0,8,2,69.0,0.1111111111111111
7,93,1,5,2,87.0,1.1666666666666667
1,59,0,7,6,32.0,0.125
2,61,1,9,9,37.0,0.2
4,86,0,4,5,66.0,0.8
1,91,0,7,6,66.0,0.125
9,62,1,7,5,56.0,1.125
6,80,1,4,8,70.0,1.2
1,74,0,4,1,48.0,0.2
1,42,1,9,7,17.0,0.1
6,73,0,7,5,59.0,0.75
4,72,1,5,3,56.0,0.6666666666666666
4,85,0,7,5,66.0,0.5
6,56,1,5,5,41.0,1.0
7,84,0,6,9,76.0,1.0
9,58,1,5,2,54.0,1.5
5,69,0,9,7,57.0,0.5
9,62,1,8,4,62.0,1.0
4,54,0,4,9,38.0,0.8
2,98,1,6,3,73.0,0.2857142857142857
3,96,1,7,1,72.0,0.375
1,53,0,5,9,28.0,0.16666666666666666
6,41,1,6,0,28.0,0.8571428571428571
6,78,1,8,6,67.0,0.6666666666666666
1,88,0,5,9,62.0,0.16666666666666666
3,57,0,9,2,36.0,0.3
5,45,0,7,2,33.0,0.625
3,98,0,7,2,74.0,0.375
3,71,1,5,9,52.0,0.5
3,60,1,8,2,38.0,0.3333333333333333
5,79,1,4,1,62.0,1.0
5,67,0,4,5,50.0,1.0
4,66,1,7,9,48.0,0.5
1,41,1,8,2,15.0,0.1111111111111111
5,72,0,7,0,51.0,0.625
5,55,1,4,9,37.0,1.0
4,78,1,7,8,59.0,0.5
6,61,0,5,5,46.0,1.0
4,95,1,9,5,78.0,0.4
7,82,0,5,9,74.0,1.1666666666666667
7,86,0,9,8,78.0,0.7
2,52,1,8,1,27.0,0.2222222222222222
3,95,1,4,9,74.0,0.6
1,41,1,8,8,15.0,0.1111111111111111
8,53,0,8,2,46.0,0.8888888888888888
9,95,0,4,2,90.0,1.8
4,77,1,6,2,58.0,0.5714285714285714
6,80,1,6,0,65.0,0.8571428571428571
9,67,0,7,9,65.0,1.125
6,46,1,6,6,36.0,0.8571428571428571
9,57,1,5,9,52.0,1.5
4,95,0,9,6,79.0,0.4
8,80,1,8,1,74.0,0.8888888888888888
9,94,1,7,5,93.0,1.125
4,75,1,8,3,57.0,0.4444444444444444
5,80,1,4,6,65.0,1.0
8,75,0,6,6,69.0,1.1428571428571428
6,83,0,4,3,71.0,1.2
7,43,0,7,2,31.0,0.875
3,96,0,9,6,78.0,0.3
7,69,1,5,8,60.0,1.1666666666666667
8,63,1,6,3,58.0,1.1428571428571428
6,59,1,4,5,46.0,1.2
9,85,1,9,6,87.0,0.9
6,95,0,6,9,81.0,0.8571428571428571
9,70,1,8,2,69.0,1.0
4,63,1,5,4,46.0,0.6666666666666666
8,46,0,9,0,41.0,0.8
4,65,0,6,5,50.0,0.5714285714285714
2,52,0,5,4,24.0,0.3333333333333333
9,93,1,9,6,97.0,0.9
5,47,0,8,8,35.0,0.5555555555555556
4,94,1,8,3,82.0,0.4444444444444444
2,44,1,4,8,24.0,0.4
1,83,0,7,5,59.0,0.125
7,52,0,4,4,42.0,1.4
6,68,0,5,1,56.0,1.0
2,59,1,4,0,30.0,0.4
8,53,1,9,7,49.0,0.8
4,71,1,6,5,56.0,0.5714285714285714
8,99,0,9,6,98.0,0.8
7,89,1,4,5,79.0,1.4
5,66,1,7,9,54.0,0.625
8,95,1,9,6,93.0,0.8
9,64,1,9,8,63.0,0.9
5,91,0,9,4,76.0,0.5
5,43,1,7,0,27.0,0.625
2,60,0,9,0,35.0,0.2
5,57,0,5,8,39.0,0.8333333333333334
3,78,1,8,4,59.0,0.3333333333333333
7,54,1,7,1,50.0,0.875
5,92,0,5,2,77.0,0.8333333333333334
8,77,1,7,0,70.0,1.0
1,87,0,7,5,62.0,0.125
3,91,1,8,5,71.0,0.3333333333333333
3,63,1,6,2,39.0,0.42857142857142855
9,47,0,5,2,41.0,1.5
5,67,1,7,6,51.0,0.625
9,60,0,7,0,52.0,1.125
9,55,0,4,4,49.0,1.8
1,99,1,9,2,76.0,0.1
2,93,0,6,4,71.0,0.2857142857142857
5,55,1,8,3,42.0,0.5555555555555556
4,74,1,5,5,60.0,0.6666666666666666
9,56,1,7,8,53.0,1.125
7,48,0,9,1,40.0,0.7
6,96,1,5,9,85.0,1.0
7,74,1,8,7,70.0,0.7777777777777778
1,91,0,6,1,63.0,0.14285714285714285
1,68,0,4,3,42.0,0.2
8,78,0,6,8,73.0,1.1428571428571428
2,57,0,4,3,35.0,0.4
9,51,1,5,6,48.0,1.5
7,58,1,6,4,49.0,1.0
6,87,1,6,1,75.0,0.8571428571428571
1,61,1,6,7,35.0,0.14285714285714285
1,98,0,8,9,70.0,0.1111111111111111
2,95,0,5,9,71.0,0.3333333333333333
6,88,1,4,1,74.0,1.2
6,91,0,6,2,77.0,0.8571428571428571
2,54,0,5,9,30.0,0.3333333333333333
1,40,0,9,6,13.0,0.1
5,47,0,8,9,35.0,0.5555555555555556
2,61,1,9,2,40.0,0.2
6,64,1,5,1,55.0,1.0
9,41,0,4,5,37.0,1.8
2,90,0,5,9,64.0,0.3333333333333333
2,48,1,5,0,23.0,0.3333333333333333
3,48,1,7,7,27.0,0.375
7,52,0,8,4,42.0,0.7777777777777778
6,45,0,4,4,34.0,1.2
8,69,0,7,1,63.0,1.0
8,54,1,9,6,50.0,0.8
6,90,0,5,4,75.0,1.0
3,92,0,9,7,74.0,0.3
3,54,0,8,4,39.0,0.3333333333333333
1,89,0,7,8,63.0,0.125
7,46,0,7,4,36.0,0.875
5,97,0,4,2,84.0,1.0
4,50,0,5,1,30.0,0.6666666666666666
4,79,0,4,4,60.0,0.8
4,77,1,7,9,61.0,0.5
6,79,1,7,9,70.0,0.75
8,41,1,4,4,32.0,1.6
8,90,0,7,5,87.0,1.0
5,87,1,6,1,72.0,0.7142857142857143
6,78,1,8,4,68.0,0.6666666666666666
4,49,1,5,0,29.0,0.6666666666666666
9,83,1,8,2,78.0,1.0
8,56,1,5,2,45.0,1.3333333333333333
1,46,0,7,2,20.0,0.125
2,93,1,4,2,66.0,0.4
9,79,0,4,7,77.0,1.8
8,78,0,7,0,72.0,1.0
3,43,1,5,5,26.0,0.5
8,74,0,7,5,67.0,1.0
1,90,1,5,0,67.0,0.16666666666666666
4,86,0,7,0,68.0,0.5
3,75,0,7,2,56.0,0.375
6,70,1,7,7,61.0,0.75
7,64,0,4,5,50.0,1.4
4,80,0,5,3,68.0,0.6666666666666666
7,52,0,9,4,47.0,0.7
9,57,0,7,9,56.0,1.125
2,60,0,8,2,40.0,0.2222222222222222
3,87,0,8,5,68.0,0.3333333333333333
5,40,0,4,5,26.0,1.0
3,75,0,6,5,55.0,0.42857142857142855
8,89,1,9,8,84.0,0.8
8,47,0,4,9,40.0,1.6
8,91,1,6,7,85.0,1.1428571428571428
9,87,1,4,5,85.0,1.8
4,60,0,8,1,40.0,0.4444444444444444
5,82,0,7,3,68.0,0.625
5,91,1,5,5,74.0,0.8333333333333334
8,92,1,7,8,90.0,1.0
7,92,1,8,1,82.0,0.7777777777777778
9,60,0,5,5,57.0,1.5
8,66,0,6,9,61.0,1.1428571428571428
2,58,0,6,9,38.0,0.2857142857142857
4,62,1,8,9,46.0,0.4444444444444444
6,90,0,5,6,80.0,1.0
2,89,0,7,7,67.0,0.25
7,90,0,8,8,84.0,0.7777777777777778
3,82,0,6,4,58.0,0.42857142857142855
3,74,1,8,8,55.0,0.3333333333333333
2,79,0,7,8,57.0,0.25
8,91,0,4,6,87.0,1.6
6,90,1,9,1,80.0,0.6
1,81,0,9,7,54.0,0.1
1,87,1,9,4,64.0,0.1
7,44,1,4,7,33.0,1.4
8,91,0,7,1,83.0,1.0
5,80,1,5,6,66.0,0.8333333333333334
5,47,0,8,4,33.0,0.5555555555555556
4,50,1,7,3,31.0,0.5
6,55,1,4,9,40.0,1.2
6,78,0,6,5,66.0,0.8571428571428571
3,86,1,9,4,67.0,0.3
9,63,0,9,5,64.0,0.9
7,60,0,7,8,52.0,0.875
1,91,0,9,0,68.0,0.1
7,62,0,9,0,58.0,0.7
5,88,1,7,5,72.0,0.625
5,77,0,7,1,65.0,0.625
2,86,1,4,7,65.0,0.4
4,47,0,4,6,24.0,0.8
6,46,1,9,5,35.0,0.6
7,41,1,7,3,34.0,0.875
5,69,1,7,8,57.0,0.625
9,52,1,9,6,54.0,0.9
3,62,0,5,6,42.0,0.5
1,68,0,6,4,39.0,0.14285714285714285
4,77,1,8,0,62.0,0.4444444444444444
9,76,1,8,1,71.0,1.0
4,59,0,9,7,42.0,0.4
2,72,1,8,4,52.0,0.2222222222222222
5,68,1,4,1,54.0,1.0
3,89,0,4,4,68.0,0.6
9,54,1,5,7,50.0,1.5
4,62,1,9,3,46.0,0.4
6,81,0,4,2,68.0,1.2
2,42,1,9,4,19.0,0.2
6,76,0,9,6,68.0,0.6
3,95,0,7,1,74.0,0.375
9,68,0,6,0,63.0,1.2857142857142858
2,84,0,6,4,60.0,0.2857142857142857
9,47,1,9,6,47.0,0.9
5,61,0,6,7,47.0,0.7142857142857143
8,92,0,6,7,87.0,1.1428571428571428
2,68,1,8,9,45.0,0.2222222222222222
6,41,0,8,8,31.0,0.6666666666666666
3,80,1,7,0,61.0,0.375
5,88,0,5,6,73.0,0.8333333333333334
8,98,0,4,9,92.0,1.6
1,89,0,4,7,65.0,0.2
5,84,0,8,5,69.0,0.5555555555555556
3,40,1,9,9,20.0,0.3
4,83,1,6,3,66.0,0.5714285714285714
2,59,1,7,6,38.0,0.25
9,91,0,5,2,81.0,1.5
3,60,0,8,1,39.0,0.3333333333333333
2,76,0,9,5,53.0,0.2
9,47,1,7,1,44.0,1.125
7,66,0,9,5,58.0,0.7
6,86,1,7,9,79.0,0.75
1,98,1,8,2,75.0,0.1111111111111111
5,74,1,7,1,59.0,0.625
3,45,0,6,7,23.0,0.42857142857142855
4,84,0,5,3,65.0,0.6666666666666666
2,83,0,7,6,60.0,0.25
2,58,1,4,7,32.0,0.4
3,57,1,7,8,38.0,0.375
8,95,0,9,9,91.0,0.8
8,40,0,8,7,34.0,0.8888888888888888
7,64,0,4,3,46.0,1.4
6,66,1,8,1,55.0,0.6666666666666666
9,46,0,9,9,43.0,0.9
4,83,1,5,4,67.0,0.6666666666666666
1,81,1,6,6,56.0,0.14285714285714285
8,68,1,5,1,58.0,1.3333333333333333
7,70,1,4,3,60.0,1.4
7,83,1,9,5,77.0,0.7
3,82,1,9,7,69.0,0.3
4,75,1,6,9,60.0,0.5714285714285714
9,58,0,7,5,52.0,1.125
6,45,0,4,5,36.0,1.2
5,64,0,6,5,49.0,0.7142857142857143
3,70,1,8,3,50.0,0.3333333333333333
9,48,1,6,2,48.0,1.2857142857142858
5,59,0,8,0,43.0,0.5555555555555556
5,49,1,8,1,34.0,0.5555555555555556
4,76,1,9,1,57.0,0.4
4,66,1,6,9,50.0,0.5714285714285714
1,52,1,9,6,28.0,0.1
7,80,1,9,5,72.0,0.7
9,41,1,5,7,38.0,1.5
3,89,1,5,8,68.0,0.5
2,60,1,9,4,41.0,0.2
3,72,1,9,2,53.0,0.3
1,63,1,8,3,36.0,0.1111111111111111
6,92,1,9,7,80.0,0.6
7,83,1,4,2,73.0,1.4
8,73,1,4,6,67.0,1.6
6,99,1,5,3,91.0,1.0
4,48,0,4,7,34.0,0.8
5,41,0,7,0,23.0,0.625
8,94,0,7,7,86.0,1.0
3,95,1,5,4,73.0,0.5
3,69,1,4,1,49.0,0.6
4,61,0,6,0,43.0,0.5714285714285714
1,85,0,5,5,61.0,0.16666666666666666
9,50,0,7,8,45.0,1.125
8,94,1,5,8,85.0,1.3333333333333333
8,82,1,4,8,75.0,1.6
6,56,0,4,3,44.0,1.2
7,75,1,4,5,66.0,1.4
6,52,1,8,9,45.0,0.6666666666666666
9,46,0,4,5,40.0,1.8
3,55,0,9,4,38.0,0.3
3,72,0,7,1,50.0,0.375
3,84,1,7,6,67.0,0.375
3,40,1,8,0,21.0,0.3333333333333333
9,50,1,7,5,51.0,1.125
4,45,1,7,4,25.0,0.5
7,59,1,5,4,53.0,1.1666666666666667
9,74,0,4,7,71.0,1.8
7,83,1,9,8,77.0,0.7
9,76,1,9,6,75.0,0.9
3,80,0,5,9,60.0,0.5
4,65,0,9,7,49.0,0.4
8,97,0,5,1,87.0,1.3333333333333333
6,51,0,9,1,40.0,0.6
5,69,1,7,7,56.0,0.625
4,67,1,6,5,49.0,0.5714285714285714
8,66,0,4,7,59.0,1.6
1,81,1,6,8,59.0,0.14285714285714285
9,58,0,7,8,54.0,1.125
1,44,1,8,5,17.0,0.1111111111111111
8,97,1,5,7,90.0,1.3333333333333333
4,44,1,9,1,23.0,0.4
9,80,0,9,7,82.0,0.9
5,66,0,7,2,49.0,0.625
3,67,1,9,0,50.0,0.3
9,65,1,7,6,60.0,1.125
9,66,0,6,0,60.0,1.2857142857142858
4,91,0,8,0,74.0,0.4444444444444444
4,88,1,5,0,71.0,0.6666666666666666
8,81,1,9,3,77.0,0.8
2,60,0,8,3,34.0,0.2222222222222222
9,40,1,8,9,39.0,1.0
6,93,0,8,5,85.0,0.6666666666666666
9,67,0,4,9,64.0,1.8
8,87,1,8,2,87.0,0.8888888888888888
7,97,1,7,9,91.0,0.875
1,97,1,4,5,73.0,0.2
3,54,0,4,6,34.0,0.6
2,94,0,8,0,70.0,0.2222222222222222
5,56,0,9,5,42.0,0.5
5,65,1,9,9,55.0,0.5
5,59,1,9,0,45.0,0.5
4,64,0,9,6,49.0,0.4
5,52,0,7,9,37.0,0.625
3,72,1,9,4,55.0,0.3
